_id,address,total_count,other_count,pistol_count,revolver_count,rifle_count,shotgun_count,year,month,dow,neighborhood,council_district,ward,tract,public_works_division,police_zone,fire_zone,latitude,longitude
2813,"<100 BLOCK AUBURN ST PITTSBURGH, PA 15206",2,0,1,1,0,0,2019,7,0,Larimer,9,12,42003120800,2,5,3-10,40.4654863647939,-79.9176158270998
2814,"100 BLOCK W MEYERS ST PITTSBURGH, PA 15210",1,0,1,0,0,0,2019,7,0,Carrick,4,29,42003290100,3,3,4-23,40.400062650291,-79.9906333494888
2815,"200 BLOCK BIGHAM ST PITTSBURGH, PA 15211",1,0,0,1,0,0,2019,7,0,Mount Washington,2,19,42003190300,5,3,4-1,40.4343458191228,-80.0151719236309
2816,"PIUS ST & BROSVILLE ST PITTSBURGH, PA 15203",1,1,0,0,0,0,2019,7,1,South Side Slopes,3,17,42003170600,3,3,4-3,40.4248473699576,-79.9846215617641
2817,"SOUTH SIDE AVE & LUELLA ST PITTSBURGH, PA 15212",1,0,1,0,0,0,2019,7,1,Spring Hill-City View,1,26,42003262000,1,1,1-11,40.4700083912189,-79.9977412739119
2818,"7100 BLOCK FRANKSTOWN AVE PITTSBURGH, PA 15208",1,0,1,0,0,0,2019,7,1,Homewood South,9,13,42003130300,2,5,3-17,40.4578978331942,-79.8985004674126
2819,"100 BLOCK 7TH ST PITTSBURGH, PA 15222",1,0,1,0,0,0,2019,7,1,Central Business District,6,2,42003020100,6,2,1-3,40.4441447479242,-80.000996797488
2820,"7300 BLOCK MONTICELLO ST PITTSBURGH, PA 15208",1,0,1,0,0,0,2019,7,1,Homewood North,9,13,42003130200,2,5,3-17,40.4588375462801,-79.8932531294066
2821,"7200 BLOCK BENNETT ST PITTSBURGH, PA 15208",1,0,1,0,0,0,2019,7,1,Homewood South,9,13,42003130300,2,5,3-17,40.4564560852673,-79.8966319961519
2822,"CHARTIERS AVE & TUXEDO ST PITTSBURGH, PA 15204",1,0,1,0,0,0,2019,7,1,Sheraden,2,20,42003202200,5,6,1-16,40.453938747572,-80.0655903469707
2823,"5100 BLOCK KINCAID ST PITTSBURGH, PA 15224",1,0,1,0,0,0,2019,7,1,Garfield,9,10,42003101700,2,5,3-4,40.4672035276869,-79.942319095013
2824,"1400 BLOCK ADAMS ST PITTSBURGH, PA 15233",1,0,1,0,0,0,2019,7,1,Manchester,6,21,42003210700,1,1,1-8,40.4587227794128,-80.0279992669707
2825,"100 BLOCK 9TH ST PITTSBURGH, PA 15222",1,0,1,0,0,0,2019,7,2,,,,,,2,,,
2826,"900 BLOCK SAW MILL RUN BLVD PITTSBURGH, PA 15226",1,0,0,1,0,0,2019,7,2,Duquesne Heights,2,20,42003191100,5,3,4-1,40.426952035298,-80.0228567519789
2827,"7100 BLOCK FUCHSIA WAY PITTSBURGH, PA 15208",1,0,1,0,0,0,2019,7,2,Homewood North,9,13,42003130200,2,5,3-17,40.4597027440798,-79.8978041678449
2828,"7400 BLOCK HAMILTON AVE PITTSBURGH, PA 15208",1,0,1,0,0,0,2019,7,2,Homewood South,9,13,42003130300,2,5,3-17,40.4537297499137,-79.8935899828523
2829,"5300 BLOCK 2ND AVE PITTSBURGH, PA 15207",1,0,0,1,0,0,2019,7,2,Hazelwood,5,15,42003562300,3,4,2-13,40.4045588227466,-79.9425457287419
2830,"2300 BLOCK FREMONT PL PITTSBURGH, PA 15216",1,0,1,0,0,0,2019,7,2,Beechview,4,19,42003192000,5,6,4-28,40.4023239972252,-80.0309766303975
2831,"N BRADDOCK AVE & THOMAS ST PITTSBURGH, PA 15208",1,0,1,0,0,0,2019,7,2,Point Breeze North,9,14,42003140500,2,4,3-14,40.4488757240917,-79.893885827484
2832,"100 BLOCK MONTGOMERY PL PITTSBURGH, PA 15212",1,0,1,0,0,0,2019,7,2,,,,,,1,,,
