_id,ID,STATUS,NAME,LOCATION,MUNIC,ZIPCITY,ZIPCODE,COUNTY,X_COORD,Y_COORD,RESTRICT,CAPACITY,OWNER,PARK_FEE,D_PARK_FEE,M_PARK_FEE,SERV_TRANS,TRANS_OP_1,TRANS_OP_2
50,72,OPEN,I-79 EXIT 48-SOUTHPOINTE BLVD AT MORGANZA RD-CECIL TWP,SOUTHPOINTE BLVD. AT MORGANZA RD.,CECIL TOWNSHIP,CANONSBURG,15317,WASHINGTON,40.2958899999999999863575794734060764312744140625,-80.159819999999996298356563784182071685791015625,NONE,129,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,0,0,YES,FREEDOM TRANSIT,NONE
51,73,OPEN,RT 519 AT RT 19-CANONSBURG,RT. 519 AT RT. 19 (WASHINGTON RD.),NORTH STRABANE TOWNSHIP,CANONSBURG,15317,WASHINGTON,40.24145999999999645524439984001219272613525390625,-80.1791099999999943293005344457924365997314453125,NONE,96,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,0,0,NO,NONE,NONE
52,74,OPEN,I-70 EXIT 16-SHEFFIELD ST AT E WILMINGTON ST-CANTON TWP,SHEFFIELD ST. AT E. WILMINGTON ST.,CANTON TOWNSHIP,WASHINGTON,15301,WASHINGTON,40.17510999999999654619387001730501651763916015625,-80.268339999999994915924617089331150054931640625,NONE,74,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,0,0,YES,FREEDOM TRANSIT,NONE
53,75,OPEN,RT 56 AT RT 4093-ACROSS FROM KISKI PARK PLAZA-LEECHBURG,PA 56 (S. LEECHBURG HILL RD.) AT SR 4093,ALLEGHENY TOWNSHIP,LEECHBURG,15656,WESTMORELAND,40.61693000000000353111317963339388370513916015625,-79.6231700000000017780621419660747051239013671875,NONE,43,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,0,0,YES,WESTMORELAND TRANSIT,NONE
54,76,OPEN,I-79 EXIT 43-RT 519-HOUSTON BORO,RT. 519 (HILL CHURCH HOUSTON RD.),HOUSTON BOROUGH,CANONSBURG,15317,WASHINGTON,40.24580999999999875171852181665599346160888671875,-80.20310000000000627551344223320484161376953125,NONE,18,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,0,0,NO,NONE,NONE
55,78,OPEN,THORN RUN-RT 51 BETWEEN 4TH AVE & 5TH AVE-CORAOPOLIS,RT. 51 AT THORN RUN RD.,MOON TOWNSHIP,CORAOPOLIS,15108,ALLEGHENY,40.52282000000000294903657049871981143951416015625,-80.1764299999999963119989843107759952545166015625,NONE,110,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
56,79,OPEN,NEVILLE ISLAND-I-79 EXIT 65-GRAND AVE-NEVILLE TWP,GRAND AVE. AT HUBERT ST.,NEVILLE TOWNSHIP,PITTSBURGH,15225,ALLEGHENY,40.5136600000000015597834135405719280242919921875,-80.13483999999999696228769607841968536376953125,NONE,239,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
57,80,OPEN,WEST BUSWAY-SHERADEN STA-CHARTIERS AVE-SHERADEN,CHARTIERS AVE. OPPOSITE MUNICIPAL ST.,CITY OF PITTSBURGH,PITTSBURGH,15204,ALLEGHENY,40.4520600000000030149749363772571086883544921875,-80.0515999999999934289007796905934810638427734375,TRANSIT ONLY,177,PORT AUTHORITY OF ALLEGHENY COUNTY,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
58,81,OPEN,WEST BUSWAY-CRAFTON STA-STATION ST-CRAFTON,STATION ST. OFF NOBLE AVE.,CRAFTON BOROUGH,PITTSBURGH,15205,ALLEGHENY,40.43502000000000151658241520635783672332763671875,-80.0669099999999929195837466977536678314208984375,TRANSIT ONLY,106,PRIVATE,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
59,82,OPEN,WEST BUSWAY-KNIGHTS OF COLUMBUS-W CRAFTON AVE-CRAFTON,10 W. CRAFTON AVE. OFF CRENNELL AVE.,CRAFTON BOROUGH,PITTSBURGH,15205,ALLEGHENY,40.43650999999999839928932487964630126953125,-80.06779000000000223735696636140346527099609375,TRANSIT ONLY,50,PRIVATE,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
