Neighborhood,Population (2010),Miles of Major Roads,Total Street Miles,Street Density (st. mi/area sq. mi),Total Working Pop. (Age 16+) (2010),Commute to Work: Drive Alone (2010),Commute to Work: Carpool/Vanpool (2010),Commute to Work: Public Transportation (2010),Commute to Work: Taxi (2010),Commute to Work: Motorcycle (2010),Commute to Work: Bicycle (2010),Commute to Work: Walk (2010),Commute to Work: Other (2010),Work at Home (2010)
Point Breeze,5315,5.12670369760884000000000000000000000000000000000000,21.329843382932200000000000000000000000000000000000,21.24486392722330000000000000000000000000000000000,3177,0.646207113629,0.0758577274158,0.15801070192,0.0,0.0,0.0116462071136,0.0390305319484,0.0113314447592,0.0579162732137
Point Breeze North,2054,1.6281894953736200000000000000000000000000000000000000,6.73854009501360000000000000000000000000000000000000,23.561329003544100000000000000000000000000000000000,969,0.399380804954,0.163054695562,0.357069143447,0.0,0.0,0.0,0.015479876161,0.0123839009288,0.0526315789474
Polish Hill,1274,1.4643565123329000000000000000000000000000000000000,8.0163734358445800000000000000000000000000000000000,31.43675857193960000000000000000000000000000000000,921,0.729641693811,0.0966340933768,0.112920738328,0.0,0.0,0.0,0.0119435396308,0.0,0.0488599348534
Regent Square,928,0.460529950079508000000000000000000000000000000000000000,4.5055300430879600000000000000000000000000000000000,23.46630230774980000000000000000000000000000000,614,0.605863192182,0.0928338762215,0.234527687296,0.0,0.0,0.0,0.0309446254072,0.0,0.0358306188925
Ridgemont,483,3.30596089143826000000000000000000000000000000000000,6.77353465375723000000000000000000000000000000000000,18.356462476306900000000000000000000000000000000000,276,0.804347826087,0.0471014492754,0.0,0.0,0.0,0.0,0.148550724638,0.0,0.0
Shadyside,13915,4.29149585786583000000000000000000000000000000000000,27.2377792272179000000000000000000000000000000000,29.574135968749100000000000000000000000000000000000,8223,0.448498115043,0.073330901131,0.268636750578,0.0,0.00352669342089,0.0117961814423,0.172807977624,0.00449957436459,0.0169038063967
Sheraden,5299,1.8383563135397300000000000000000000000000000000000000,31.1146996588365000000000000000000000000000000000,34.960336695321900000000000000000000000000000000,2438,0.536915504512,0.207957342084,0.209187858901,0.0,0.0,0.0,0.0168170631665,0.0233798195242,0.00574241181296
South Oakland,2969,8.066483654614810000000000000000000000000000000000,19.215455819442600000000000000000000000000000000000,37.8257004319736000000000000000000000000000000000,1132,0.46554770318,0.0282685512367,0.139575971731,0.00706713780919,0.0,0.0,0.302120141343,0.00971731448763,0.047703180212
South Shore,19,3.635073685398980000000000000000000000000000000000000,7.98426534174282000000000000000000000000000000000000,37.661628970485000000000000000000000000000000000,38,0.763157894737,0.0,0.236842105263,0.0,0.0,0.0,0.0,0.0,0.0
South Side Flats,6597,4.0936889450728400000000000000000000000000000000000,25.939505698001400000000000000000000000000000000000,27.71314711324940000000000000000000000000000000000,4328,0.530268022181,0.0804066543438,0.156423290203,0.0,0.00323475046211,0.0138632162662,0.193160813309,0.0025415896488,0.020101663586
South Side Slopes,4423,2.533908324215080000000000000000000000000000000000,22.243122266239400000000000000000000000000000000000,31.065813221004800000000000000000000000000000000000,2586,0.629156999227,0.135344160866,0.113302397525,0.0,0.0,0.0,0.0986078886311,0.00232018561485,0.0212683681361
Spring Garden,884,1.927613440511100000000000000000000000000000000000000,6.54938097228218000000000000000000000000000000000000,23.815930808298800000000000000000000000000000000000,638,0.413793103448,0.30407523511,0.0673981191223,0.0,0.0,0.051724137931,0.12539184953,0.0,0.0376175548589
Spring Hill-City View,2648,1.9206825369971400000000000000000000000000000000000000,15.1816477558662000000000000000000000000000000000000,24.09785358074000000000000000000000000000000000000,899,0.530589543938,0.182424916574,0.147942157953,0.0,0.0,0.06340378198,0.0444938820912,0.0,0.0311457174638
Squirrel Hill North,11363,8.1915332353268000000000000000000000000000000000000,26.463352787781000000000000000000000000000000000000,21.655771512095800000000000000000000000000000000000,5962,0.475343844348,0.0449513586045,0.110868835961,0.0,0.0020127474002,0.0155987923516,0.260818517276,0.0,0.090405904059
Squirrel Hill South,15110,7.98916764663555000000000000000000000000000000000000,46.67163473001250000000000000000000000000000000,17.4734686372192000000000000000000000000000000000,7779,0.5404293611,0.086514976218,0.227407121738,0.0,0.0017997171873,0.0250674893945,0.0682607018897,0.00257102455328,0.0479496079188
St. Clair,209,1.365049262618180000000000000000000000000000000000000,4.3565917574314400000000000000000000000000000000000,14.053521798165900000000000000000000000000000000000,289,0.307958477509,0.0,0.550173010381,0.0,0.0,0.0,0.100346020761,0.0,0.0415224913495
