DEC_LAT,DEC_LONG
40.1052,-79.2385
40.1186,-79.273
40.346,-79.7252
40.5837,-79.596
40.5725,-79.7655
40.4429,-79.6343
40.3751,-79.6853
40.4047,-79.7254
40.1961,-79.2678
40.3382,-79.6259
40.5897,-79.7526
40.5869,-79.6736
40.2884,-79.5426
40.5761,-79.7412
40.4511,-79.4231
40.4638,-79.5891
40.5985,-79.6868
40.2939,-79.4581
40.2927,-79.4694
40.2845,-79.39
40.33,-79.5466
40.2868,-79.4224
40.0879,-79.3356
40.3141,-79.2037
40.1859,-79.6149
40.1499,-79.7997
40.1402,-79.8248
40.588,-79.7208
40.3216,-79.7665
40.5654,-79.7652
40.3246,-79.578
40.1524,-79.7325
40.1188,-79.398
40.1216,-79.3988
40.2824,-79.3099
40.3296,-79.7185
40.599,-79.5612
40.2977,-79.6148
40.2739,-79.0844
40.2666,-79.7186
40.3214,-79.5777
40.2497,-79.6797
40.1381,-79.667
40.2211,-79.774
40.1397,-79.8468
40.1387,-79.8425
40.3173,-79.3477
40.2672,-79.5587
40.3386,-79.4383
40.119,-79.6526
40.6161,-79.6261
40.6161,-79.6269
40.3654,-79.6566
40.2036,-79.8376
40.2857,-79.3846
40.3264,-79.4276
40.3526,-79.7682
40.5869,-79.7494
40.3208,-79.4268
40.4008,-79.5866
40.5634,-79.7581
40.1404,-79.858
40.3066,-79.6741
40.3589,-79.6808
40.1188,-79.398
40.4067,-79.7184
40.1708,-79.5007
40.3334,-79.5808
40.301,-79.5542
40.1384,-79.8425
40.3275,-79.6965
40.3267,-79.701
40.1208,-79.5877
40.1093,-79.5793
40.2473,-79.4782
40.1346,-79.4092
40.3261,-79.6846
40.1726,-79.7983
40.3023,-79.5224
40.3017,-79.5615
40.189,-79.5691
40.3271,-79.5463
40.2608,-79.6038
40.2824,-79.5256
40.3064,-79.5749
40.2012,-79.6028
40.1582,-79.5672
40.3728,-79.6849
40.2117,-79.7717
40.26,-79.2656
40.1189,-79.3755
40.4331,-79.276
40.3197,-79.3419
40.3026,-79.5288
40.3091,-79.7285
40.4782,-79.5922
40.2808,-79.6648
40.1545,-79.5543
40.3023,-79.4977
40.3582,-79.7381
40.3761,-79.6499
40.4044,-79.6555
40.1383,-79.5476
40.3137,-79.6714
40.6329,-79.6517
40.5889,-79.5989
40.5323,-79.7134
40.2903,-79.4632
40.1413,-79.8227
40.3215,-79.3949
40.3311,-79.7408
40.3174,-79.6841
40.1945,-79.8295
40.3171,-79.6578
40.3084,-79.5502
40.3263,-79.4885
40.4894,-79.4541
40.1807,-79.521
40.5547,-79.7536
40.6338,-79.6522
40.6353,-79.653
40.281,-79.4599
40.3091,-79.5192
40.3091,-79.5192
40.163,-79.7334
40.177,-79.7135
40.1191,-79.2767
40.2355,-79.6217
40.5651,-79.7674
40.1554,-79.8921
40.6073,-79.6038
40.3243,-79.7015
40.5843,-79.5717
40.3293,-79.604
40.3284,-79.7453
40.2453,-79.5218
40.2484,-79.6864
40.2941,-79.5354
40.2901,-79.542
40.1478,-79.5291
40.3553,-79.1157
40.1701,-79.7304
40.6002,-79.5671
40.2795,-79.3089
40.2875,-79.5504
40.1057,-79.645
40.2558,-79.6779
40.3095,-79.5388
40.576,-79.7653
40.2749,-79.6575
40.3049,-79.5827
40.2623,-79.4963
40.5277,-79.5985
40.1061,-79.24
,
40.1926,-79.5395
40.5185,-79.6522
40.4012,-79.5136
40.2172,-79.609
40.1403,-79.8445
40.5866,-79.6459
40.5999,-79.5798
40.5085,-79.6704
40.3422,-79.7251
40.2977,-79.6148
40.2719,-79.5807
40.1238,-79.5557
40.3218,-79.4121
40.2429,-79.5758
40.1879,-79.6031
40.1477,-79.8076
40.4867,-79.6752
40.3246,-79.7563
40.4981,-79.6848
40.3127,-79.5527
40.4027,-79.5941
40.2434,-79.7748
40.3064,-79.5749
40.1074,-79.3781
40.3054,-79.592
40.4465,-79.4186
40.3471,-79.7277
40.2002,-79.835
40.319,-79.5781
40.2855,-79.3861
40.2813,-79.5504
40.364,-79.4016
40.2223,-79.2994
40.3316,-79.707
40.3032,-79.5359
40.3519,-79.7324
40.1694,-79.811
40.3366,-79.7457
40.2367,-79.622
40.2769,-79.3782
40.3515,-79.5279
40.2675,-79.568
40.2388,-79.4627
40.2125,-79.4977
40.2027,-79.5818
40.1702,-79.4293
40.3985,-79.4226
40.3157,-79.3855
40.5903,-79.7125
40.332,-79.6361
40.2131,-79.7803
40.2455,-79.2448
40.199,-79.8389
40.5081,-79.6056
40.2984,-79.729
40.3105,-79.601
40.5617,-79.5684
40.1529,-79.7747
40.5795,-79.7645
40.1431,-79.8406
40.1524,-79.3311
40.2373,-79.8056
40.3178,-79.379
40.285,-79.4322
40.1136,-79.6016
40.2956,-79.5651
40.3247,-79.578
40.3037,-79.4245
40.2887,-79.6116
40.1958,-79.6852
